brain_volume,gray_matter_volume,white_matter_volume,csf_volume,mean_intensity,std_intensity,max_intensity,contrast,homogeneity,energy,area,entropy,skewness,kurtosis,total_neurons,neuron_density,occipital_lobe,hippocampus,temporal_lobe,thalamus,insular_lobe,frontal_lobe,lbp_4,lbp_9,SRE,LRE,GLN,RLN,RP,LGRE,HGRE,name,label
9553,3661,3877,8846,72.11407470703125,82.33292067160428,254,259.05856299212604,0.465441701576081,0.3915755888646783,6544,5.443319831769536,0.6080931295047438,-1.1955523363738323,6127,0.37396240234375,53.4772,97.2092,22.380714285714287,100.8912,146.598,59.00857142857143,0.1751708984268084,0.0460205078096911,9002.191016869163,357892.0,759142.0,79326332.0,0.5867919921875,610.0008234273504,192795709.0,0_processed_108.png,label_0
9394,2883,3725,9776,67.49200439453125,83.67951534640575,252,269.0642224409449,0.4883213639218765,0.401089743866179,5381,5.328290787581852,0.8227206331405457,-0.9129627845349026,5242,0.3199462890625,45.6252,101.136,20.667142857142856,100.8252,123.4376,57.11857142857143,0.1625976562400758,0.0546874999966621,8648.198199421802,366046.0,800118.0,72846240.0,0.570068359375,626.5398797839465,184613917.0,0_processed_109.png,label_0
9193,2520,3722,10142,65.7010498046875,84.32115677199086,251,278.31532972440954,0.5026203146334668,0.4160447567499156,4976,5.216044888596624,0.9008467354530164,-0.7913319746902587,4948,0.302001953125,47.518,106.7428,18.56,88.9452,121.0124,48.36785714285714,0.1641845703024789,0.0479125976533256,8493.870048454459,393760.0,746466.0,70433420.0,0.5574951171875,570.3239140625616,183512904.0,0_processed_11.png,label_0
9757,3543,3646,9195,68.56988525390625,79.83765876249306,248,289.22084153543307,0.4615630630675761,0.379524118321431,6123,5.525985377770821,0.6899276273863679,-1.0760849144981508,5624,0.34326171875,52.074,96.7444,23.992142857142856,86.2112,143.594,62.35928571428571,0.1765136718642264,0.0480957031220644,9123.501395628557,346866.0,782686.0,81361912.0,0.5960693359375,608.6143802203047,176836774.0,0_processed_110.png,label_0
9377,3110,3878,9396,68.70068359375,82.6491439202103,254,247.2475393700788,0.4895084997411157,0.4048114202137705,5852,5.333164716614605,0.7178982520873947,-1.0845742034606891,5588,0.341064453125,46.95,98.0608,14.329285714285714,98.2532,141.7088,53.17642857142857,0.1746826171768382,0.0450439453097507,8622.198123839244,374912.0,720425.0,72576523.0,0.56646728515625,574.9566348579299,185167803.0,0_processed_111.png,label_0
9126,2789,4383,9212,74.7645263671875,89.45815881808308,253,360.3602362204725,0.4986821625101149,0.4218412874310566,6096,5.222854334263424,0.6668483598154024,-1.202827707896326,5969,0.36431884765625,49.3868,107.1024,18.841428571428573,96.8104,163.3996,62.932857142857145,0.1691284179584272,0.0463256835909225,8428.096842437204,418946.0,654805.0,69482303.0,0.55108642578125,527.4468538575069,216833779.0,0_processed_112.png,label_0
9717,3468,3916,9000,70.72601318359375,80.9330367499706,253,301.15059055118115,0.4612093333345621,0.3815859064115913,6203,5.491072371539766,0.6262794653618411,-1.1937815338553244,5871,0.35833740234375,46.4784,91.9984,25.248571428571427,92.0488,151.4608,68.8,0.1768798828017041,0.0448608398410119,9066.486236023637,352218.0,775991.0,80350977.0,0.59246826171875,608.9806216509711,184793851.0,0_processed_113.png,label_0
9793,3620,4306,8458,76.4691162109375,84.82945694697176,254,290.04687499999994,0.4513462065272061,0.376564939659191,6540,5.546375722971696,0.5534331438240554,-1.2663412174823314,6261,0.38214111328125,56.9472,104.0096,27.140714285714285,99.7236,157.7664,71.73214285714286,0.1782836913953684,0.048889160153266,9244.630954534445,344716.0,796387.0,83694719.0,0.60150146484375,617.1281360656918,209699989.0,0_processed_114.png,label_0
9655,3532,3849,9003,70.7896728515625,83.61019815277847,253,303.7171505905512,0.4619154270879318,0.3863444532553592,5593,5.501184645559152,0.7353459805746112,-1.0005133925443404,5459,0.33319091796875,54.9284,91.9268,21.209285714285716,105.28,142.6508,58.35428571428572,0.1739501953018829,0.0505371093719154,9083.962586455811,353804.0,741166.0,80850312.0,0.5914306640625,592.8739146905449,194309826.0,0_processed_115.png,label_0
9761,3562,3986,8836,72.33203125,83.75240629924066,252,303.2058316929134,0.4563227880993747,0.3780162287402168,5822,5.539734710144963,0.6858197289864304,-1.0753851757105248,5660,0.345458984375,56.3268,95.142,24.015714285714285,104.0616,145.5156,65.00428571428571,0.1743164062393605,0.0515136718718558,9227.43062333207,347938.0,819422.0,83369788.0,0.6002197265625,636.2948475155339,196517226.0,0_processed_116.png,label_0
